 Intel Core i5-12400 ,,4.40 GHz
Intel Celeron 420,"1,6GHz",
Intel Celeron 430,"1,8GHz",
Intel Celeron 440,2GHz,
Intel Celeron 450,2GHz,
Intel Celeron E1200,"1,6GHz",
Intel Celeron E1400,2GHz,
Intel Celeron E1500,2GHz,
Intel Celeron G1610,6GHz,
Intel Celeron G1610T,3GHz,
Intel Celeron G1620,7GHz,
"Intel Celeron G4""1","9GHz""",
Intel Celeron G460,"1,8GHz",
Intel Celeron G530,4GHz,
Intel Celeron G530T,2GHz,
Intel Celeron G540,5GHz,
Intel Celeron G540T,1GHz,
Intel Celeron G550,6GHz,
Intel Celeron G550T,2GHz,
Intel Celeron G555,7GHz,
Intel Core i5-12600H, ,4.50 GHz
Intel Core i5-12600HE, , 
Intel Core i5-12600HX, ,4.60 GHz
Intel Core i5-12600K , ,4.90 GHz
Intel Core i5-12600KF , ,4.90 GHz
Intel Core i5-12600T, ,4.60 GHz
Intel Core i5-2300,3.10 GHz,
Intel Core i5-2300,3.10 GHz,2.80 GHz
Intel Core i5-2310,3.20 GHz,
Intel Core i5-2310,3.20 GHz,2.90 GHz
Intel Core i5-2320,3.30 GHz,
Intel Core i5-2320,3.30 GHz,3.00 GHz
Intel Core i5-2380P,3.40 GHz,
Intel Core i5-2380P,3.40 GHz,3.10 GHz
Intel Core i5-2390T,3.50 GHz,
Intel Core i5-2390T,3.50 GHz,2.70 GHz
Intel Core i5-2400,3.40 GHz,
Intel Core i5-2400,3.40 GHz,3.10 GHz
Intel Core i5-2400S,3.30 GHz,
Intel Core i5-2400S,3.30 GHz,2.50 GHz
Intel Core i5-2405S,3.30 GHz,
Intel Core i5-2405S,3.30 GHz,2.50 GHz
Intel Core i5-2410M,2.90 GHz,
Intel Core i5-2410M,2.90 GHz,2.30 GHz
Intel Core i5-2430M,3.00 GHz,
Intel Core i5-2430M,3.00 GHz,2.40 GHz
Intel Core i5-2435M,3.00 GHz,
Intel Core i5-2435M,3.00 GHz,2.40 GHz
Intel Core i5-2450M,3.10 GHz,
Intel Core i5-2450M,3.10 GHz,2.50 GHz
Intel Core i5-2450P,3.50 GHz,
Intel Core i5-2450P,3.50 GHz,3.20 GHz
Intel Core i5-2467M,2.30 GHz,
Intel Core i5-2467M,2.30 GHz,1.60 GHz
Intel Core i5-2500,3.70 GHz,
Intel Core i5-2500,3.70 GHz,3.30 GHz
Intel Core i5-2500K,3.70 GHz,
Intel Core i5-2500K,3.70 GHz,3.30 GHz
Intel Core i5-2500S,3.70 GHz,
Intel Core i5-2500S,3.70 GHz,2.70 GHz
Intel Core i5-2500T,3.30 GHz,
Intel Core i5-2500T,3.30 GHz,2.30 GHz
Intel Core i5-2510E,3.10 GHz,
Intel Core i5-2510E,3.10 GHz,2.50 GHz
Intel Core i5-2515E,3.10 GHz,
Intel Core i5-2515E,3.10 GHz,2.50 GHz
Intel Core i5-2520M,3.20 GHz,
Intel Core i5-2520M,3.20 GHz,2.50 GHz
Intel Core i5-2537M,2.30 GHz,
Intel Core i5-2537M,2.30 GHz,1.40 GHz
Intel Core i5-2540M,3.30 GHz,
Intel Core i5-2540M,3.30 GHz,2.60 GHz
Intel Core i5-2550K,3.80 GHz,
Intel Core i5-2550K,3.80 GHz,3.40 GHz
Intel Core i5-2557M,2.70 GHz,
Intel Core i5-2557M,2.70 GHz,1.70 GHz
Intel Core i5-3210M,3.10 GHz,
Intel Core i5-3210M,3.10 GHz,
Intel Core i5-3210M,3.10 GHz,2.50 GHz
Intel Core i5-3210M,3.10 GHz,2.50 GHz
Intel Core i5-3230M,3.20 GHz,
Intel Core i5-3230M,3.20 GHz,
Intel Core i5-3230M,3.20 GHz,2.60 GHz
Intel Core i5-3230M,3.20 GHz,2.60 GHz
Intel Core i5-3317U,2.60 GHz,
Intel Core i5-3317U,2.60 GHz,1.70 GHz
